Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,33.871344
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.865, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.865, 1.865, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12736.2
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7185
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.24527
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-3.2898500556
adsorption_energy_widom_dev,0.0065703952
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,2.6039633099
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,1.12024e-06
henry_coefficient_dev,2.1145e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0036190219256512, 0.0060582881920842, 0.010301431615226, 0.020502946853021, 0.015766929524287, 0.021540017141377, 0.02102226067801, 0.02430283011858, 0.026547454900494, 0.020757829356579, 0.03034526626193, 0.013982676283141, 0.021625592190883, 0.029917026751753, 0.055449817266837, 0.047646313091115, 0.058759534164216, 0.074033580594363], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.02412399923692, 0.09039194330496, 0.15380267077428, 0.2311747975328, 0.29013735825184, 0.3608859374406, 0.42725128661996, 0.49881157506972, 0.56141059327804, 0.62910714564544, 0.68852426355064, 0.76261708489472, 0.83469686727152, 0.89885436726096, 0.98132402817856, 1.0459036169837, 1.1280485941969, 1.1337954957648], 'enthalpy_of_adsorption_dev': [0.38113971548061, 0.16315029973477, 0.09146936552676, 0.066293216266327, 0.081049412586366, 0.077861772800213, 0.093859719138959, 0.11925215135567, 0.07189643560899, 0.076181537003317, 0.18348572830145, 0.036797294488372, 0.088821871908076, 0.096526061543322, 0.11744853790959, 0.054169140206031, 0.11344852128075, 0.063351059672578], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-5.7656899719804, -5.7765661453527, -5.7867242024395, -5.8816361111804, -5.8473194316264, -5.893334580496, -5.8789098135076, -5.9660389281052, -5.9086395117774, -5.897517979929, -5.9439453576447, -6.0328584137753, -6.0177387277278, -6.0046507528706, -6.0578495589201, -6.0156061626466, -6.031164683678, -6.1029371513141]}"
temperature,300
temperature_unit,K
