Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,27.833904
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 100000]"
Number_of_blocking_spheres,0
POAV_A^3,13428.1
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.75753
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.31292
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-7.9456645821
adsorption_energy_widom_dev,0.025443531
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,1.57482e-06
henry_coefficient_dev,5.64896e-09
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.008051632170539, 0.0026726813977604, 0.0053838785135945, 0.019338287898367, 0.018575086334102, 0.026035503375907, 0.0084925738429601, 0.045275579664866, 0.024703629586144, 0.022927727778071, 0.051035486341121, 0.036684948388556, 0.055223954586924, 0.065826960689997, 0.08190358660006, 0.052005613732924, 0.07265936728654, 0.095320323195759], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.03308526947836, 0.12324993419024, 0.21692118290964, 0.30627413836052, 0.41140672184524, 0.500824614037, 0.59939858669284, 0.69680369801284, 0.77602652188644, 0.89041259094656, 0.9990517584388, 1.062527422649, 1.1670106387249, 1.2782148074819, 1.3844188471912, 1.4739990812351, 1.5844889458424, 1.6197820645107], 'enthalpy_of_adsorption_dev': [0.37556759206139, 0.32510607534526, 0.49292851263376, 0.43006309811845, 0.30943358858597, 0.27112035951544, 0.24128472724552, 0.22907794766905, 0.37741791590798, 0.23015041613662, 0.19855296700007, 0.20364080882659, 0.43505996358285, 0.14233588585967, 0.080111263542108, 0.45225925186867, 0.52756869787899, 0.15514758092007], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.358034222145, -11.364036899387, -11.342472874211, -11.377959808103, -11.383600309296, -11.37267133937, -11.576031445129, -11.557915492255, -11.457862113691, -11.695492088831, -11.717465515951, -11.778888029732, -11.690935372029, -11.712845609572, -11.857182326873, -11.749507038155, -12.106558579232, -11.917921728069]}"
temperature,400
temperature_unit,K
