Key,Value
Density,0.576983
Density_unit,g/cm^3
Estimated_saturation_loading,26.78196
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,12920.6
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.7289
POAV_Volume_fraction_unit,
POAV_cm^3/g,1.2633
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,17726.2
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.174761419
adsorption_energy_widom_dev,0.0338670419
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.0996814472
conversion_factor_molec_uc_to_mg_g,7.1428466883
conversion_factor_molec_uc_to_mol_kg,0.1623418522
henry_coefficient_average,4.95513e-06
henry_coefficient_dev,2.87889e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0046898535236606, 0.022250098341158, 0.027198031252833, 0.038362942604808, 0.06297042694981, 0.045114727705015, 0.15141474083278, 0.11683074384276, 0.24977599783633, 0.12377998925024, 0.10928238058636, 0.19917204672356, 0.36591662766672, 0.31521510057783, 0.4363407572805, 0.42894932378856, 0.45711872702701, 0.83511655703182], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.09847656754452, 0.40004279219124, 0.71647953049948, 1.0421048176422, 1.3902306854999, 1.7436164293689, 2.0940475515278, 2.5153246579868, 2.9165363115139, 3.2858640252689, 3.5700596717302, 4.0460135140102, 4.61346322419, 4.8348975105908, 5.5411819727722, 5.9194709567686, 6.5004924457924, 6.9907648394364], 'enthalpy_of_adsorption_dev': [0.12652557099266, 0.24651353171535, 0.38227119968738, 0.58795765466896, 0.36941904666883, 0.17527282099889, 0.42027564790103, 0.74798094335387, 0.86052103963483, 0.66835988958453, 0.16621551802982, 0.73434204684343, 0.52894194041888, 0.61176580778728, 0.4149551354003, 0.44494737804827, 0.62320910761351, 0.77039785321726], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.496912274575, -11.774961462672, -12.049494899105, -12.216547936777, -12.161158281576, -12.355539481014, -12.720691510148, -12.93051275016, -12.940290173189, -13.185263774912, -13.140514246755, -13.144147231715, -13.821272854257, -13.803293008406, -14.092480357187, -14.310510255835, -14.627671630374, -14.664109484257]}"
temperature,300
temperature_unit,K
