Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,14.4646328
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,824.947
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6047
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.682294
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-24.3329534024
adsorption_energy_widom_dev,0.3641253287
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,60.4275444139
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,8.62094e-05
henry_coefficient_dev,4.65881e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.41016887322048, 0.6700145526696, 0.99855799196393, 1.4254828248883, 1.9994717992258, 2.5994717992258, 3.1994717992258, 3.7994717992258, 4.3994717992258, 4.9994717992258, 5.5994717992258, 6.1994717992258, 6.7994717992258, 7.3994717992258, 7.9994717992258, 8.5994717992258, 9.1994717992258, 9.7994717992258, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.17534364546911, 0.39729298110682, 0.54909774087697, 0.22316910149737, 0.28925467061757, 0.20404984487634, 0.25372372648626, 0.20254162273847, 0.23609458123678, 0.10987477836977, 0.28019511701647, 0.085874104455685, 0.13524164137303, 0.27527827324666, 0.31686712361515, 0.21914843707265, 0.26335935748486, 0.27885179158694, 0.42067169895643, 0.20514175107974], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [1.8808414485807, 3.7641893352586, 5.6369277784839, 7.5054087104207, 8.6438809628516, 10.078404756286, 10.835263224724, 11.551177481779, 12.062027334236, 12.350593895717, 12.644671187534, 12.968636895291, 13.432362278044, 13.578697061199, 13.854559758351, 13.766645583722, 13.906267919644, 14.026594115695, 14.27916067245, 14.362576992411], 'enthalpy_of_adsorption_dev': [3.198459404854, 2.975258104479, 1.7873831366973, 3.0985723728518, 2.9353865456087, 1.8632318808045, 2.8721147306544, 2.1516985690887, 1.9733582100721, 1.8163415230351, 3.2252054658984, 2.4393108844046, 2.0934811720004, 1.7355095989956, 4.4352188604259, 1.6165632103631, 1.949301006876, 6.9264813050311, 2.6428565097736, 1.2580586997913], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-27.840788373118, -27.454017027928, -27.183320030264, -28.519406267408, -28.497494948991, -27.665708679421, -27.876625676586, -28.895350161715, -29.691318334123, -27.009592011507, -30.167925885278, -28.039435949881, -29.666138701122, -29.248302528415, -28.666434444971, -28.075374439816, -29.75592485429, -31.846232072036, -30.385132157675, -29.264294064337]}"
temperature,298
temperature_unit,K
