Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,9.3060792
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1207.66
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4562
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.438966
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-23.6387187082
adsorption_energy_widom_dev,0.0341954259
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,26.5569800057
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,0.000184624
henry_coefficient_dev,2.3111e-06
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.298341206602, 0.42607328418695, 0.5977090650983, 0.83853276450599, 1.196140807621, 1.7696226682948, 2.3696226682948, 2.9696226682948, 3.5696226682948, 4.1696226682948, 4.7696226682948, 5.3696226682948, 5.9696226682948, 6.5696226682948, 7.1696226682948, 7.7696226682948, 8.3696226682948, 8.9696226682948, 9.5696226682948, 10.169622668295, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.17205772388857, 0.24739788174285, 0.12076748463, 0.27934940611987, 0.20566964897629, 0.20248793145951, 0.032427135740728, 0.11772739705667, 0.10179370942425, 0.1394159073154, 0.15099026276857, 0.15270069487448, 0.17347881125466, 0.12146855164895, 0.15453396927951, 0.056339086941839, 0.12616508090357, 0.10952085323981, 0.23920797415484, 0.13742116412037, 0.20803332093504, 0.16447231679052], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [4.7886558786826, 6.3647852111394, 7.3318980971574, 8.082163303532, 8.5723843219792, 9.0448700249718, 9.3562591079737, 9.4795814174418, 9.6105491267152, 9.8731585475054, 9.7901959007549, 9.89195013523, 10.017576124432, 9.9381343854298, 10.157879269119, 10.094694064248, 10.164468396473, 10.14344354725, 10.251696371511, 10.191438550016, 10.317607764928, 10.304640764626], 'enthalpy_of_adsorption_dev': [1.4965761309687, 1.1961562611725, 1.3523217014625, 3.3962981882883, 5.5838912224689, 4.8295043858555, 3.9227575016837, 2.7266309645556, 3.0732863236138, 8.2910630232887, 3.4150884986655, 13.242634772559, 4.6933702909215, 6.5745141054102, 2.7031901590548, 7.1334457359507, 4.3539462306586, 3.9788667115645, 10.082123643711, 5.898902979056, 16.525541967025, 2.8290281941915], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-32.550586914769, -34.835099315723, -35.911051441304, -36.467169605813, -37.544656323531, -38.42106249948, -38.346164808394, -38.75093778321, -36.057343210862, -37.031327147406, -36.259244136257, -35.584814048041, -36.138947727254, -38.439664346944, -37.745291877645, -40.27645988709, -38.632078271931, -34.982619623689, -36.537927049296, -38.227036741413, -34.487321177654, -36.532296691693]}"
temperature,298
temperature_unit,K
