Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,18.5582044
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8550.06
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5937
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.875387
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-16.3677225363
adsorption_energy_widom_dev,0.1058809238
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,7.480399531
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,1.69318e-05
henry_coefficient_dev,2.11625e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.043586543661539, 0.070874854562541, 0.10837287516854, 0.15944863503496, 0.056118718386017, 0.17261138606242, 0.16167595991937, 0.17821192697472, 0.19036263933816, 0.28227004544125, 0.27109200623876, 0.19176246055515, 0.10631685960765, 0.39353164572611, 0.22586581130633, 0.29045472312316, 0.24391535876595, 0.3280379816363], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.33325238737755, 1.2925972889793, 2.3283038515716, 3.3630498366629, 4.3863964020293, 5.491103031666, 6.6049138958481, 7.726783410216, 8.7620904405734, 9.7753806945792, 10.721974567406, 11.355947217413, 12.144190314226, 12.655889098967, 13.270038149572, 13.779637264908, 14.099909104992, 14.496508603324], 'enthalpy_of_adsorption_dev': [0.93164175667024, 0.65199410507762, 1.1598290056787, 0.68423202214961, 0.54764339461059, 0.7673896635155, 0.6271827758516, 0.58968970591903, 1.1716952100638, 0.51540250929136, 0.42089212042603, 0.50809317136847, 1.0448239671414, 0.89917073657429, 1.0202001030988, 1.8021485204493, 1.3505736449577, 1.2096291520125], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-18.418177479567, -18.299364778462, -17.942102383744, -18.24755697455, -18.434704796588, -18.666028784515, -19.332158672354, -19.871730064104, -20.449472283887, -21.026737505508, -21.357474495523, -21.939580703899, -22.727551071313, -22.790824540836, -23.311332468634, -23.34803472101, -24.523839515103, -24.432233335828]}"
temperature,298
temperature_unit,K
