Key,Value
Density,0.909567
Density_unit,g/cm^3
Estimated_saturation_loading,10.2344484
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,2189.3
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4391
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.482757
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,4985.87
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.8424971781
adsorption_energy_widom_dev,0.0319288794
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,7.4649453328
conversion_factor_molec_uc_to_mg_g,16.1096362244
conversion_factor_molec_uc_to_mol_kg,0.3661380816
henry_coefficient_average,8.8233e-06
henry_coefficient_dev,4.03729e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0091938212898492, 0.029163800327059, 0.068538036767364, 0.088626738457431, 0.12313945488822, 0.20054243237936, 0.1036304085831, 0.11187703021649, 0.12672500502921, 0.19766606684165, 0.047514108612081, 0.11166560224349, 0.058807549243458, 0.12639081007872, 0.10237893825849, 0.12986338908352, 0.088725301584128, 0.16420386160219], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.181009514091, 0.74827639736592, 1.2751307898842, 1.9099409957623, 2.5974750853908, 3.1622339228068, 3.701418015223, 4.143300912454, 4.559325307672, 4.9593677756281, 5.3128649399609, 5.6220044757078, 5.8786672709094, 6.1130963311058, 6.3072959695865, 6.4505291871084, 6.6681158955512, 6.7253524311574], 'enthalpy_of_adsorption_dev': [0.27734549732691, 0.41019527242191, 0.21493945440789, 0.40570063937875, 0.41438765142634, 1.2422968164093, 0.61690841668537, 0.74053283779402, 0.25305677084632, 0.39261407797261, 0.50796073100363, 0.34825031386928, 1.0651166013985, 0.61500039909207, 0.96599279971398, 1.3068348008281, 1.0243753045156, 1.2755297448305], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-16.580507678365, -17.15986514014, -17.469092398128, -18.23671605431, -19.005716328686, -19.572479775178, -19.92808385922, -20.379130644451, -21.131242589775, -21.549444181155, -21.857475160676, -22.468979155754, -22.754283920747, -23.17532937567, -23.558339943296, -23.320212765957, -24.044774388267, -23.983726355874]}"
temperature,298
temperature_unit,K
