Key,Value
Density,0.882399
Density_unit,g/cm^3
Estimated_saturation_loading,13.6296072
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.525, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.525, 1.525, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,3224.29
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5673
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.642906
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,5683.56
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-19.8898235331
adsorption_energy_widom_dev,0.0470040406
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,6.5485801117
conversion_factor_molec_uc_to_mg_g,14.5682062393
conversion_factor_molec_uc_to_mol_kg,0.3311046265
henry_coefficient_average,4.08664e-05
henry_coefficient_dev,2.13785e-07
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.5747155606766, 1.0330783971665, 1.6052102675631, 2.2552102675631, 2.9052102675631, 3.5552102675631, 4.2052102675631, 4.8552102675631, 5.5052102675631, 6.1552102675631, 6.8052102675631, 7.4552102675631, 8.1052102675631, 8.7552102675631, 9.4052102675631, 10.055210267563, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.062579374436304, 0.1396738621882, 0.1186911904872, 0.13571989947458, 0.1408769508142, 0.19144356693573, 0.091435317459022, 0.11236294910819, 0.072845700472794, 0.1593446992132, 0.12232206600797, 0.094092900665952, 0.18973480797362, 0.03531758970057, 0.21347447042356, 0.10935404382761, 0.12257299858262, 0.09925654390136], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.81844097101402, 2.3902774091662, 4.1090249700963, 5.5328245297403, 6.4595449912355, 7.1817835130199, 7.7586257156926, 8.2509782952981, 8.6290170026044, 9.0663896589796, 9.3959215385037, 9.8014170969626, 10.024705779459, 10.311632771168, 10.617051956267, 10.834331089792, 11.068182009873, 11.093577734726], 'enthalpy_of_adsorption_dev': [0.53793635312996, 0.4189843688941, 1.2589496229411, 1.6124424683844, 1.6025641415779, 2.4179614959301, 1.472000457293, 1.6512620122555, 1.1147002486011, 2.0821989640235, 3.1310219417492, 0.94283347883565, 2.1934800661828, 2.4889162738104, 1.7188309761958, 2.3598337864691, 1.8269425057993, 1.2465028144305], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-23.145826494725, -23.99392656706, -24.940720361178, -25.570124882559, -24.831451032235, -24.910459205308, -23.161758831991, -23.364055024819, -22.639345655301, -23.360214345697, -22.780711464751, -22.766281376535, -21.853723528972, -23.044255984302, -23.293347135267, -23.260472840954, -23.804811720004, -24.314672952367]}"
temperature,298
temperature_unit,K
