Key,Value
Density,0.886275
Density_unit,g/cm^3
Estimated_saturation_loading,19.2354817
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 82]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,821.809
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.6024
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.679699
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,1364.22
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.8165576357
adsorption_energy_widom_dev,0.0413934476
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,27.2823602987
conversion_factor_molec_uc_to_mg_g,38.473453978
conversion_factor_molec_uc_to_mol_kg,1.3733907382
henry_coefficient_average,3.3358e-06
henry_coefficient_dev,1.68464e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.001, 5.001, 10.0], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.00021715216584068, 0.047008925105631, 0.094119172250312], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.0002575107634125, 1.4881547017608, 2.6347642943156], 'enthalpy_of_adsorption_dev': [5.0242957438494, 0.53118676677226, 1.180735967341], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-10.930680119395, -12.627642197334, -12.375177554397]}"
temperature,298
temperature_unit,K
