Key,Value
Density,1.03926
Density_unit,g/cm^3
Estimated_saturation_loading,12.3247066
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,1198.13
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.4526
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.435502
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,2647.21
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-13.6852426274
adsorption_energy_widom_dev,0.007684773
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,14.0598000531
conversion_factor_molec_uc_to_mg_g,16.908493601
conversion_factor_molec_uc_to_mol_kg,0.6035841888
henry_coefficient_average,1.05176e-05
henry_coefficient_dev,4.07143e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.001, 1.1730174003342, 2.5911804585789, 4.3385314034222, 6.538684666065, 9.3830944494579, 10.0], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.00046055580114259, 0.06480796112242, 0.10738607314107, 0.079751433704147, 0.086138651644789, 0.068012062317412, 0.075886214071894], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.00089531652660053, 1.0572481248587, 2.104245378204, 3.0582806067779, 3.9533255405928, 4.7875291881767, 4.9002485354351], 'enthalpy_of_adsorption_dev': [0.77420362841203, 0.90295440373151, 0.4377038903162, 0.59003580188405, 0.62731006127726, 0.41909855911136, 0.33869974973602], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-15.923043659009, -16.605107463853, -17.002830726763, -17.757976686372, -18.290693838185, -18.907606029616, -18.765641415779]}"
temperature,298
temperature_unit,K
