Key,Value
Density,0.678215
Density_unit,g/cm^3
Estimated_saturation_loading,24.3227746
Estimated_saturation_loading_unit,mol/kg
Input_block,"[1.655, 100]"
Input_ha,DEF
Input_structure_filename,file.txt.cif
Input_volpo,"[1.655, 1.655, 10000]"
Number_of_blocking_spheres,0
POAV_A^3,8394.52
POAV_A^3_unit,A^3
POAV_Volume_fraction,0.5829
POAV_Volume_fraction_unit,
POAV_cm^3/g,0.859462
POAV_cm^3/g_unit,cm^3/g
PONAV_A^3,0.0
PONAV_A^3_unit,A^3
PONAV_Volume_fraction,0.0
PONAV_Volume_fraction_unit,
PONAV_cm^3/g,0.0
PONAV_cm^3/g_unit,cm^3/g
Unitcell_volume,14401.3
Unitcell_volume_unit,A^3
adsorption_energy_widom_average,-9.3141940341
adsorption_energy_widom_dev,0.0287237499
adsorption_energy_widom_unit,kJ/mol
conversion_factor_molec_uc_to_cm3stp_cm3,2.5844373369
conversion_factor_molec_uc_to_mg_g,4.7626758606
conversion_factor_molec_uc_to_mol_kg,0.170013717
henry_coefficient_average,3.35073e-06
henry_coefficient_dev,1.73687e-08
henry_coefficient_unit,mol/kg/Pa
is_kh_enough,True
is_porous,True
isotherm,"{'pressure': [0.2, 0.8, 1.4, 2.0, 2.6, 3.2, 3.8, 4.4, 5.0, 5.6, 6.2, 6.8, 7.4, 8.0, 8.6, 9.2, 9.8, 10.2], 'pressure_unit': 'bar', 'loading_absolute_dev': [0.0025710886078646, 0.025392640003004, 0.021765275314962, 0.01914485809418, 0.03147547654175, 0.03205931309869, 0.038205641974108, 0.074735168016291, 0.084100900387737, 0.057961279260007, 0.045318035662301, 0.022254815038872, 0.026429210592307, 0.077590069583675, 0.09316147316638, 0.076827108784681, 0.086276498989785, 0.081702504079985], 'loading_absolute_unit': 'mol/kg', 'loading_absolute_average': [0.06515775704025, 0.25961944654485, 0.45015381918675, 0.64337440855725, 0.81887956861635, 0.9636547493277, 1.1393894279048, 1.3231997580393, 1.4892606561191, 1.6511477174465, 1.8164945579148, 1.9914471733937, 2.1010550167436, 2.2852648791131, 2.3572061834616, 2.54000493198, 2.6538801196266, 2.7808803662256], 'enthalpy_of_adsorption_dev': [0.23541703457966, 0.72782790817557, 0.76047474495523, 0.28753921495265, 0.65057920730338, 0.59725198506731, 0.53540427194799, 0.5938525437962, 0.76812505716162, 0.41272159171219, 0.77829402276488, 0.35311124691327, 0.68899749736017, 0.31032181786436, 0.76839374589476, 0.42360884820367, 0.49328087766997, 0.46656154747948], 'enthalpy_of_adsorption_unit': 'kJ/mol', 'enthalpy_of_adsorption_average': [-11.58889077349, -11.699066457143, -11.5488456262, -11.518154614918, -11.562189518845, -11.477156053312, -11.515427984668, -11.518502157591, -11.369443432857, -11.532345996192, -11.408750426114, -11.312309579041, -11.172065135151, -11.440308714342, -11.649039352141, -11.491136165224, -11.562272330448, -11.459410507762]}"
temperature,298
temperature_unit,K
